,transaction_date,owner,ticker,asset_type,type,amount,senator,lower_amt,mid_amt,upper_amt,5_day_pct_change,15_day_pct_change
1771,2019-07-31,Joint,GPK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.016150717802357818,-0.10161501246970879
1772,2019-07-30,Joint,GPK,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.04473685193877989,-0.13223685032811766
1773,2019-07-23,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.059904683638073435,-0.07964598016426656
1774,2019-07-19,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.0294250080822398,-0.09299189908086533
1775,2019-07-19,Joint,LGF-B,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.07192988385417616,0.07543865255518638
1776,2019-07-18,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.022867214731643007,-0.10312222238158733
1777,2019-07-17,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.007216226102356178,-0.11108677164244282
1778,2019-07-16,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.05347941591546382,-0.13122853157509878
1779,2019-07-15,Joint,MYL,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.048497633610681476,0.02003168591828685
1780,2019-07-15,Joint,ABBV,Stock,Sale,"$15,001 - $50,000","David A Perdue , Jr",-15001.0,-32500.5,-50000.0,-0.03230395035519057,-0.07172315497086303
1781,2019-07-15,Joint,BMY,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001.0,32500.5,50000.0,-0.032134005157399205,0.026929226150528326
1782,2019-07-15,Joint,DOW,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001.0,32500.5,50000.0,-0.0009816960136118011,-0.12095021675427864
1783,2019-07-15,Joint,DOW,Stock,Purchase,"$15,001 - $50,000","David A Perdue , Jr",15001.0,32500.5,50000.0,-0.0009816960136118011,-0.12095021675427864
1784,2019-07-15,Joint,DD,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.0004168800760756901,-0.07795033743761433
1785,2019-07-15,Joint,DD,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.0004168800760756901,-0.07795033743761433
1786,2019-07-12,Joint,ENTG,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.03819900398899928,0.13544876136931985
1787,2019-07-10,Joint,MSM,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.026024332888910113,0.032421039198754255
1788,2019-07-10,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.034213283718903774,-0.047096084775063364
1789,2019-07-09,Joint,BWXT,Stock,Sale,"$15,001 - $50,000","David A Perdue , Jr",-15001.0,-32500.5,-50000.0,0.01785716286814005,0.03686624411480575
1790,2019-07-08,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.06599715434066254,-0.07583522634782189
1791,2019-07-08,Joint,BWXT,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.012886939333947297,0.03058275757451936
1792,2019-07-02,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,-0.021492063001551105,-0.06178958258902458
1793,2019-07-01,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.011544904368324881,-0.07493702226200981
1797,2018-12-20,Joint,CVS,Stock,Sale,"$1,001 - $15,000",Thomas R Tillis,-1001.0,-8000.5,-15000.0,-0.01940447693888791,-0.01714822072614713
1803,2019-07-17,Self,AIG,Stock,Sale,"$50,001 - $100,000",James M Inhofe,-50001.0,-75000.5,-100000.0,0.036481929883078364,-0.017337720523938737
1804,2019-06-05,Joint,NSRGY,Stock,Sale,"$15,001 - $50,000",Sheldon Whitehouse,-15001.0,-32500.5,-50000.0,0.009806946148789158,0.01723631688486371
1805,2019-06-05,Self,KO,Stock,Purchase,"$1,001 - $15,000",Sheldon Whitehouse,1001.0,8000.5,15000.0,0.016935735774774176,0.014554213734987952
1811,2019-06-10,Spouse,RDSA.AS,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,-0.012287183855993743,0.01825519474194566
1812,2019-06-10,Spouse,MSFT,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,0.0018852932027236357,0.023227636480628356
1813,2019-06-10,Spouse,INTC,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,-0.014316310852566141,0.026709376141353602
1814,2019-06-10,Spouse,HBAN,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,-0.012039182648140877,0.03987956208640658
1815,2019-06-10,Spouse,XOM,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,0.002402924032756307,0.02202648434059383
1816,2019-06-10,Spouse,C,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,-0.008641232151652167,0.05393321377386942
1817,2019-06-10,Spouse,NSC,Stock,Sale,"$1,001 - $15,000",Shelley M Capito,-1001.0,-8000.5,-15000.0,-0.05282747614800687,-0.002432787838806898
1818,2019-06-25,Self,PYPL,Stock,Sale,"$15,001 - $50,000",James M Inhofe,-15001.0,-32500.5,-50000.0,0.015117054269767491,0.0381859054872439
1819,2019-06-26,Self,BSTZ,Stock,Purchase,"$100,001 - $250,000",John Hoeven,100001.0,175000.5,250000.0,0.07638883998083144,0.08234119723862555
1820,2019-06-21,Spouse,WMT,Stock,Sale,"$50,001 - $100,000",Pat Roberts,-50001.0,-75000.5,-100000.0,-0.005758970152702987,0.03464409878954641
1821,2019-06-21,Spouse,FB,Stock,Sale,"$50,001 - $100,000",Pat Roberts,-50001.0,-75000.5,-100000.0,0.009731090385533896,0.066809690871813
1822,2019-06-21,Spouse,NOC,Stock,Sale,"$15,001 - $50,000",Pat Roberts,-15001.0,-32500.5,-50000.0,0.0029489113790563543,0.009653655496394907
1823,2019-06-21,Spouse,TGT,Stock,Sale,"$1,001 - $15,000",Pat Roberts,-1001.0,-8000.5,-15000.0,-0.011301274551394116,-0.009132348530496553
1824,2019-06-21,Spouse,NOC,Stock,Sale,"$100,001 - $250,000",Pat Roberts,-100001.0,-175000.5,-250000.0,0.0029489113790563543,0.009653655496394907
1826,2019-06-26,Spouse,BSTZ,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,1001.0,8000.5,15000.0,0.07638883998083144,0.08234119723862555
1827,2019-06-26,Spouse,BSTZ,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,1001.0,8000.5,15000.0,0.07638883998083144,0.08234119723862555
1832,2019-06-28,Joint,FEYE,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.02025653130051101,0.03038486134470908
1833,2019-06-28,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.05904061729370288,-0.05122640820457178
1834,2019-06-27,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.10845255683659925,-0.004472288852417624
1835,2019-06-27,Joint,BWXT,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.014968830662356556,0.030132124590216507
1836,2019-06-27,Joint,WPX,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,-0.034605175464220206,-0.08784389392908049
1837,2019-06-26,Joint,FDX,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.009379649332152405,0.03414211842022836
1838,2019-06-25,Joint,PBA,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.0167536584666906,0.04311994384188686
1839,2019-06-25,Joint,CZR,Stock,Sale,"$1,001 - $15,000","David A Perdue , Jr",-1001.0,-8000.5,-15000.0,0.10454229337572311,0.043825567422051
1840,2019-06-25,Joint,OKE,Stock,Purchase,"$1,001 - $15,000","David A Perdue , Jr",1001.0,8000.5,15000.0,0.039568299203421704,0.04376490329880177
