,transaction_date,owner,ticker,asset_type,type,amount,senator,lower_amt,mid_amt,upper_amt,5_day_pct_change,15_day_pct_change,30_day_pct_change
1094,2020-02-14,Joint,XOM,Stock,Sale,"$250,001 - $500,000",Kelly Loeffler,-250001,-375000.5,-500000,-0.07073379806264284,-0.3098104184036878,-0.38169825020763903
1095,2020-02-14,Joint,CTXS,Stock,Purchase,"$100,001 - $250,000",Kelly Loeffler,100001,175000.5,250000,-0.08268463351075048,-0.04679449221222077,0.1995017328051332
1096,2020-02-12,Joint,FNKO,Stock,Sale,"$50,001 - $100,000",Kelly Loeffler,-50001,-75000.5,-100000,-0.028230209316497168,-0.21389796513238316,-0.509229102909328
1097,2020-02-12,Joint,EEFT,Stock,Sale,"$100,001 - $250,000",Kelly Loeffler,-100001,-175000.5,-250000,-0.03898473439482868,-0.25576988775314613,-0.366632813326195
1098,2020-02-11,Joint,ORLY,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.006131937784732066,-0.032224951877814434,-0.23306648722765475
1099,2020-02-11,Joint,FNKO,Stock,Sale,"$50,001 - $100,000",Kelly Loeffler,-50001,-75000.5,-100000,0.03502818673222486,-0.14915255534058672,-0.5322034250807498
1100,2020-02-10,Joint,FNKO,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.0763402958969107,-0.13869464659697212,-0.5337995296540474
1101,2020-02-10,Joint,AZO,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.01910375189091289,-0.027531042945183277,-0.23278478613598538
1102,2020-02-10,Joint,ARNA,Stock,Sale,"$50,001 - $100,000",Kelly Loeffler,-50001,-75000.5,-100000,0.04174686423148857,-0.09696038783979005,-0.1937283528954602
1103,2020-02-07,Joint,TCEHY,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.04407442713989041,-0.01625854347888145,-0.09069542369009356
1104,2020-02-07,Joint,ROKU,Stock,Sale,"$100,001 - $250,000",Kelly Loeffler,-100001,-175000.5,-250000,0.0482897384305835,-0.07710263043102364,-0.28000000736842934
1105,2020-02-07,Joint,FNKO,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.12775846984112849,-0.08188147212319036,-0.5772357433160553
1106,2020-02-07,Joint,ARNA,Stock,Sale,"$50,001 - $100,000",Kelly Loeffler,-50001,-75000.5,-100000,0.0526315946022256,-0.08050684463035249,-0.22105263784089024
1107,2020-02-06,Joint,TCEHY,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.04084014688042742,-0.034422385072254494,-0.11999219537798561
1108,2020-02-06,Joint,KL,Stock,Sale,"$50,001 - $100,000",Kelly Loeffler,-50001,-75000.5,-100000,-0.01661760441082293,-0.14017679963221116,-0.3162690701923902
1109,2020-02-06,Joint,CMCSA,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.03295963093206904,-0.09349769658934726,-0.25179369580322225
1110,2020-02-06,Joint,AZO,Stock,Sale,"$15,001 - $50,000",Kelly Loeffler,-15001,-32500.5,-50000,0.00399129256103228,-0.028052119611456275,-0.3145786402072797
1111,2020-02-05,Joint,HON,Stock,Sale,"$100,001 - $250,000",Kelly Loeffler,-100001,-175000.5,-250000,0.024194463819434624,-0.09319617429123285,-0.32388981306268017
1112,2020-02-05,Spouse,MRK,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,-0.030059656156114757,-0.0902948030143916,-0.1691215310033028
1113,2020-02-05,Spouse,DFS,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,-0.017317175655231422,-0.1397166742802145,-0.6317342763280385
1114,2020-02-05,Spouse,DAL,Stock Option,Sale,"$1,001 - $15,000",Kelly Loeffler,-1001,-8000.5,-15000,0.00984893400670897,-0.17603978942988094,-0.632218617492765
